,x,y,z
187,500187.29662716534,8724284.569411218,323.1818142935125
188,500187.44367063424,8724284.721459482,323.1337230596721
189,500187.63826111984,8724284.926955046,323.0935024288018
190,500187.7247444462,8724285.011144819,323.03643896922597
191,500188.4302568657,8724285.79092029,323.079254014848
192,500188.37391801365,8724285.71436416,322.99998716524203
193,500188.28117068147,8724285.597500466,322.9147839921887
194,500188.99042904086,8724286.381865047,322.96139712820695
195,500188.4865462904,8724285.802666746,322.8084261204989
196,500188.9965157685,8724286.363305267,322.8235738093372
197,500189.10423581675,8724286.471788516,322.77210234983625
198,500189.13851749187,8724286.497656671,322.7084785980952
199,500189.19528064126,8724286.548857195,322.6487858834229
200,500189.24740692985,8724286.594847294,322.5883171443416
201,500189.2781903601,8724286.6168469,322.52431552913765
202,500189.3116889053,8724286.641896427,322.46077373052515
203,500189.34518745047,8724286.666945951,322.39723193191276
204,500189.4815380291,8724286.807760678,322.35198284031213
205,500189.825759175,8724287.182839368,322.34408526595416
206,500190.0296428421,8724287.399969647,322.3118108992446
207,500190.2719313953,8724287.660406064,322.2869548460155
208,500190.4960475981,8724287.900557991,322.25932856092055
209,500190.591429485,8724287.995636934,322.2086310566256
210,500190.6913400758,8724288.095854657,322.1589601336691
211,500190.8374361496,8724288.248151613,322.11806779854464
212,500191.0005221287,8724288.419679314,322.0807003739241
213,500191.1898168465,8724288.620923491,322.04861681800196
214,500191.26930013474,8724288.698300205,321.9961322750826
215,500191.4044978064,8724288.83855107,321.9544481739962
216,500191.52603089414,8724288.963438014,321.9104315238645
217,500191.75785941223,8724289.212913927,321.8879956627962
218,500191.8737129652,8724289.331521967,321.8435539535012
219,500191.97087474854,8724289.429066012,321.7956756442892
220,500192.1963418224,8724289.67157504,321.77327390381896
221,500192.34453827195,8724289.826889114,321.736083498929
222,500192.4085762844,8724289.88716149,321.68244639740584
223,500192.5196773332,8724290.00063827,321.63834736499336
224,500192.6300423114,8724290.113308534,321.5943529613613
225,500192.697335593,8724290.177346565,321.5418685046161
226,500192.7712349929,8724290.248858824,321.4908314985982
227,500192.90103521093,8724290.383621227,321.4514362525
228,500192.97599724866,8724290.456429003,321.40100477255874
229,500193.0266558202,8724290.50173205,321.34560928334776
230,500193.11198434007,8724290.586310515,321.2975987796726
231,500193.1873395512,8724290.65961449,321.24766816000556
232,500193.2673351764,8724290.738200434,321.1988500850413
233,500193.3511803624,8724290.821176488,321.1510099345508
234,500193.43127661,8724290.899940787,321.1025299122028
235,500193.49594777345,8724290.96125995,321.05092831260083
236,500193.5767822367,8724291.040905649,321.0029186388996
237,500193.75478720054,8724291.230725205,320.976268455283
238,500193.8772074462,8724291.357662288,320.93785522665195
239,500193.90049335413,8724291.372167729,320.87781721551323
